movieId,imdbId,avgRating,numRatings
1,114709,8.3,773322
2,113497,6.9,263564
3,113228,6.6,22162
4,114885,5.8,8579
5,113041,6.0,30828
6,113277,8.2,515029
7,114319,6.3,33518
8,112302,5.6,8845
9,114576,5.7,29453
10,113189,7.2,220266
11,112346,6.8,47649
12,112896,5.8,35165
13,112453,7.1,35801
14,113987,7.1,26721
15,112760,5.6,23823
16,112641,8.2,406358
17,114388,7.7,90461
18,113101,6.8,89154
19,112281,6.4,184719
20,113845,5.6,35935
21,113161,6.9,70153
22,112722,6.6,49043
23,112401,6.3,71699
24,114168,6.6,26824
25,113627,7.5,105385
26,114057,6.9,8444
27,114011,6.8,23933
28,114117,7.7,9423
29,112682,7.6,61042
30,115012,7.2,4756
31,112792,6.5,43913
32,114746,8.0,533781
33,114952,6.5,571
34,112431,6.8,107278
35,112637,6.9,4784
36,112818,7.5,81838
37,112286,6.4,223
38,113442,5.8,17937
39,112697,6.8,152786
40,112749,6.9,1598
41,114279,7.5,12727
42,112819,6.9,17705
43,114272,6.7,8253
44,113855,5.8,92364
45,114681,6.8,39561
46,113347,6.2,9828
47,114369,8.6,1256211
48,114148,6.7,148238
49,114916,6.6,6092
50,114814,8.6,889024
51,109950,4.9,281
52,113819,7.1,35395
53,110299,7.6,1924
54,112499,5.5,8214
55,113158,6.5,2646
56,113541,4.9,289
57,113321,6.6,10638
58,110877,7.7,30136
59,112714,7.5,1470
60,113419,6.0,23577
61,116260,6.2,11902
62,113862,7.3,33129
63,116126,6.6,44017
64,118002,5.2,5018
65,115683,4.4,24102
66,116839,2.4,8608
67,114753,6.3,3025
68,113149,6.4,4221
69,113118,7.3,89211
70,116367,7.3,255621
71,113010,4.2,11237
72,113537,6.9,8784
73,113828,7.5,3432
74,115644,6.1,7451
75,115676,4.6,4178
76,114367,6.4,22966
77,113973,7.3,624
78,112744,6.3,11885
79,116731,5.6,15644
80,112445,7.8,5878
81,114660,6.8,24473
82,112379,7.5,7605
83,114039,7.2,441
84,113612,6.0,342
85,112365,7.0,4214
86,118158,6.6,19769
87,116151,5.3,10942
88,115697,6.2,33426
89,113972,6.3,36259
90,113490,6.6,855
92,117002,5.8,13125
93,114825,4.5,19556
94,115639,7.2,29508
95,115759,6.0,84879
96,113403,7.3,2213
97,113247,8.1,129612
98,111173,5.4,2352
99,113283,6.6,619
100,115907,6.2,18305
101,115734,7.0,63348
102,117102,3.8,4649
103,118040,6.0,4485
104,116483,7.0,177865
105,112579,7.6,64304
106,110251,7.3,1073
107,117110,7.0,18794
108,112646,6.3,205
109,113276,4.8,193
110,112573,8.4,877146
111,75314,8.3,622736
112,113326,6.8,35171
113,115645,6.1,7601
114,113774,7.3,1253
115,112556,7.0,2450
116,112373,8.1,904
117,115033,7.1,3279
118,116606,4.9,3631
119,114536,4.9,862
120,117427,5.4,2898
121,106473,7.7,1410
122,103859,5.5,23260
123,109424,8.1,51261
124,114808,7.4,4427
125,116324,6.8,16535
126,110647,3.2,9503
127,111055,7.4,779
128,110217,7.1,224
129,114131,5.8,779
130,112364,6.4,738
131,113107,6.7,801
132,113451,5.2,10480
133,114015,7.1,405
134,114500,7.4,145
135,116130,6.1,19091
136,113125,7.1,229
137,113756,5.9,310
138,113952,6.2,716
139,114618,7.8,71
140,118055,6.1,12596
141,115685,7.0,71511
142,94878,6.1,9
143,113200,5.0,330
144,112585,6.6,6932
145,112442,6.9,203359
146,112342,5.8,3552
147,112461,7.3,92685
148,112427,6.0,2380
149,109093,7.0,5121
150,112384,7.6,241225
151,114287,6.9,37957
152,112288,6.4,7778
153,112462,5.4,217053
154,61395,7.8,35020
155,112495,6.6,4488
156,112541,6.7,8456
157,109370,5.9,14872
158,112642,6.1,104595
159,112688,6.9,18711
160,112715,5.1,38654
161,112740,7.3,92306
162,109508,8.0,16539
163,112851,7.2,157349
164,112857,6.7,15602
165,112864,7.6,336571
166,112887,6.0,12869
167,113044,6.3,454
168,113071,5.9,62596
169,113114,5.0,15214
170,113243,6.2,60870
171,113464,6.7,5316
172,113481,5.6,61567
173,113492,5.5,101511
174,113500,4.1,6929
175,113540,7.0,66729
176,113677,7.5,14693
177,113690,6.1,13119
178,107447,6.7,2335
179,113729,5.3,5783
180,113749,7.2,107933
181,113820,5.2,22995
182,113851,5.8,3241
183,110604,6.8,4924
184,110620,6.0,2723
185,113957,5.9,55432
186,113986,5.5,32971
187,114095,6.6,4017
188,114194,6.5,26805
189,114241,5.2,409
190,114323,7.2,10990
191,114345,5.2,13413
192,114435,6.8,315
193,114436,4.7,56536
194,114478,7.4,30951
195,114496,5.7,11807
196,114508,5.8,68266
197,114534,6.5,666
198,114558,7.2,61741
199,58450,7.9,19903
200,114666,5.0,1032
201,114663,6.2,2432
202,114702,6.6,12130
203,114682,6.5,25092
204,114781,5.5,40611
205,114798,6.7,2870
206,114805,6.4,1004
207,114887,6.7,28429
208,114898,6.2,163846
209,114928,5.2,4391
210,114938,5.9,5732
211,109340,7.3,2781
212,112602,5.5,5194
213,111579,8.0,12958
214,110882,8.0,12709
215,112471,8.1,232853
216,112508,6.4,119461
217,112438,4.3,4183
218,112571,6.4,10968
219,112757,7.7,8511
220,112643,5.9,5342
222,112679,6.6,7584
223,109445,7.8,199413
224,112883,6.7,45310
225,109635,6.1,41766
226,112899,4.7,242
227,109676,5.6,17788
228,112854,4.5,2061
229,109579,7.3,20112
230,109642,7.4,34477
231,109686,7.3,324790
232,111797,7.8,16283
233,109759,7.1,16419
234,109758,4.1,6102
235,109707,7.9,155820
236,113117,6.6,43415
237,113097,6.4,10444
238,113028,6.4,2320
239,113198,6.8,40119
240,113303,5.3,5788
241,113089,6.7,5965
242,109771,6.9,5767
243,113199,3.9,1756
244,113234,6.4,676
245,109906,6.5,3089
246,110057,8.3,21967
247,110005,7.4,55473
248,110066,6.0,6048
249,110116,7.5,21416
250,110006,6.7,22561
251,113360,6.0,4298
252,110099,6.2,22010
253,110148,7.6,270601
254,113463,5.7,2650
255,110189,4.7,2306
256,110216,4.6,60120
257,113501,6.4,22110
258,113538,4.8,5234
259,113552,5.9,15683
260,76759,8.6,1099260
261,110367,7.3,42991
262,113670,7.7,29098
263,110296,7.5,2822
264,109731,7.2,3638
265,103994,7.2,15556
266,110322,7.5,130625
267,110443,6.2,27352
268,110365,6.8,6520
269,107566,6.5,1746
270,110391,5.9,4121
271,113691,6.4,5029
272,110428,7.2,14048
273,109836,6.4,47359
274,113755,5.1,7740
275,110538,5.4,9305
276,110516,5.5,10520
277,110527,6.5,28190
278,113808,5.4,2951
279,113896,7.3,3405
280,113870,7.3,24404
281,110684,7.4,16689
282,110638,6.5,25393
283,113967,6.7,2551
284,117169,4.2,172
285,106402,3.4,436
286,113948,4.7,1487
287,110671,5.6,533
288,110632,7.3,197232
289,110737,6.5,17974
290,110729,7.9,28931
291,114151,4.4,5045
292,114069,6.6,99645
293,110413,8.6,902338
294,114113,6.1,1974
295,114210,5.4,939
296,110912,8.9,1602402
297,114084,6.4,2073
298,105652,7.3,3167
299,110889,7.1,9082
300,110932,7.5,60038
301,114129,6.7,1021
302,110963,7.5,15125
303,114214,6.4,77673
304,114296,6.4,1619
305,110907,5.1,13588
306,111495,8.1,78097
307,108394,8.0,76351
308,111507,7.7,54400
309,110769,7.0,449
310,114268,5.5,1750
311,110965,5.7,271
312,114571,5.3,2478
313,111333,6.5,20438
314,111112,7.5,6534
315,111255,5.5,57474
316,111282,7.1,163689
317,111070,6.4,84226
318,111161,9.3,2050644
319,111149,7.3,52168
320,108260,6.6,1562
321,106966,7.5,4874
322,114594,7.1,20769
324,111309,7.3,4774
325,113936,5.6,5089
326,110081,8.3,13935
327,114614,5.3,27809
328,114608,6.7,19135
329,111280,6.6,69159
330,114609,6.3,5769
331,111454,6.5,1427
332,114852,5.6,25860
333,114694,7.1,69902
334,111590,7.4,3902
335,114788,6.2,2896
