movieId,rating
1,3.95
2,3.55
3,3.25
4,3.0
5,3.05
6,3.9
7,3.05
8,2.65
9,2.85
10,3.4
11,3.3
12,2.9
13,3.6
14,3.5
15,2.9
16,3.95
17,3.7
18,3.15
19,3.1
20,2.8
21,3.25
22,3.25
23,3.1
24,3.2
25,3.6
26,3.3
27,3.4
28,3.8
29,3.75
30,3.45
31,3.25
32,3.75
33,3.3
34,3.05
35,3.4
36,3.7
37,2.15
38,3.15
39,3.6
40,3.35
41,3.4
42,3.3
43,3.25
44,2.8
45,3.35
46,3.15
47,4.15
48,3.45
49,3.3
50,4.1
51,3.15
52,3.35
53,3.65
54,2.55
55,3.15
56,2.0
57,3.15
58,3.95
59,3.4
60,3.0
61,3.0
62,3.55
63,3.1
64,2.4
65,2.2
66,1.45
67,2.9
68,3.1
69,3.55
70,3.45
71,2.05
72,3.45
73,3.35
74,2.65
75,2.0
76,3.05
77,3.75
78,3.05
79,2.75
80,3.8
81,3.3
82,3.7
83,2.25
84,0.0
85,3.25
86,3.15
87,2.55
88,3.0
89,3.05
90,3.35
92,2.9
93,2.35
94,3.4
95,2.95
96,3.75
97,4.0
98,3.05
99,3.7
100,3.05
101,3.4
102,1.95
103,2.8
104,3.25
105,3.75
106,2.45
107,3.2
108,3.5
109,0.0
110,3.95
111,4.05
112,3.35
113,3.05
114,3.15
115,3.55
116,4.2
117,3.55
118,2.4
119,2.25
120,2.65
121,4.1
122,2.75
123,4.0
124,3.55
125,3.15
126,2.15
127,3.35
128,4.0
129,3.25
130,2.75
131,2.85
132,2.6
133,2.75
134,4.0
135,2.9
136,3.25
137,1.9
138,3.3
139,0.0
140,3.1
141,3.5
142,
143,3.5
144,3.0
145,3.3
146,2.7
147,3.65
148,3.25
149,3.25
150,3.7
151,3.35
152,3.25
153,2.65
154,3.75
155,3.4
156,3.45
157,2.95
158,3.1
159,3.45
160,2.6
161,3.55
162,3.85
163,3.4
164,3.25
165,3.55
166,3.05
167,3.0
168,3.0
169,2.8
170,3.15
171,3.35
172,2.8
173,2.75
174,2.1
175,3.45
176,3.65
177,3.0
178,3.25
179,2.5
180,3.4
181,2.65
182,2.75
183,3.25
184,2.9
185,2.9
186,2.8
187,3.1
188,3.2
189,5.0
190,3.55
191,2.85
192,2.65
193,2.55
194,3.65
195,2.85
196,2.85
197,3.25
198,3.5
199,3.75
200,2.5
201,3.1
202,3.25
203,3.4
204,2.8
205,3.05
206,2.95
207,3.3
208,3.0
209,2.5
210,2.9
211,3.35
212,2.6
213,3.6
214,3.85
215,3.9
216,3.05
217,2.25
218,3.2
219,3.7
220,3.05
222,3.35
223,3.7
224,3.15
225,3.05
226,1.65
227,2.65
228,2.6
229,3.5
230,3.6
231,3.25
232,3.8
233,3.45
234,2.05
235,3.75
236,3.2
237,3.1
238,2.75
239,3.45
240,2.55
241,3.3
242,3.2
243,2.2
244,2.5
245,2.75
246,3.95
247,3.55
248,2.8
249,3.6
250,3.0
251,2.95
252,3.0
253,3.65
254,2.6
255,2.3
256,2.45
257,3.15
258,2.25
259,2.85
260,4.1
261,3.6
262,3.8
263,3.6
264,3.4
265,3.3
266,3.7
267,3.05
268,3.3
269,3.3
270,2.65
271,3.3
272,3.45
273,3.15
274,2.55
275,2.75
276,2.85
277,3.35
278,2.75
279,3.45
280,3.55
281,3.45
282,3.2
283,3.5
284,0.0
285,1.9
286,2.15
287,3.25
288,3.5
289,3.3
290,3.85
291,2.3
292,3.2
293,4.15
294,3.1
295,3.0
296,4.2
297,3.15
298,3.15
299,3.25
300,3.65
301,3.4
302,3.6
303,3.15
304,3.25
305,2.6
306,4.05
307,3.9
308,3.75
309,3.5
310,2.8
311,2.35
312,2.5
313,3.3
314,3.25
315,2.8
316,3.45
317,3.15
318,4.3
319,3.55
320,3.3
321,3.6
322,3.35
324,3.4
325,2.85
326,3.9
327,2.75
328,3.3
329,3.25
330,2.9
331,2.8
332,2.95
333,3.4
334,3.5
335,2.8
336,3.55
337,3.8
338,2.75
339,3.35
340,3.25
341,2.9
342,3.5
343,2.6
344,3.25
345,3.65
346,3.15
347,3.5
348,3.6
349,3.3
350,3.25
351,3.25
352,3.55
353,3.7
354,3.1
355,2.6
356,4.2
357,3.35
358,3.3
359,3.1
360,2.7
361,3.2
362,2.95
363,3.6
364,4.1
365,3.1
366,3.2
367,3.4
368,3.35
369,3.4
370,3.2
371,3.3
372,3.3
373,3.35
374,2.75
375,2.95
376,3.2
377,3.45
378,2.9
379,2.85
380,3.45
381,3.25
382,3.0
383,3.3
384,2.3
385,3.15
386,2.75
387,2.95
388,2.15
389,3.0
390,3.4
391,3.45
392,3.55
393,2.1
394,3.35
395,0.0
396,2.85
397,1.85
398,4.0
399,3.35
400,0.0
401,2.0
402,0.0
403,2.65
404,2.0
405,2.3
406,2.5
407,3.65
408,3.75
409,3.4
410,3.35
411,2.25
412,3.5
413,2.9
414,2.8
415,2.55
416,2.45
417,3.35
418,2.5
419,2.7
420,2.85
421,3.2
422,3.15
423,3.05
424,3.05
425,3.25
426,2.95
427,2.35
428,3.8
429,2.45
430,2.35
431,3.9
432,2.5
433,2.9
434,3.15
435,2.5
436,2.7
437,2.55
438,2.7
439,2.6
440,3.25
441,3.75
442,3.25
443,3.65
444,2.2
445,2.75
446,4.05
447,2.15
448,3.45
449,3.1
450,3.25
451,3.1
452,3.1
453,3.0
454,3.35
455,3.0
456,3.8
457,3.65
458,2.95
459,2.7
460,2.45
461,2.1
462,2.8
463,2.85
464,3.05
465,3.35
466,3.2
467,2.35
468,3.1
469,3.4
470,2.35
471,3.6
472,2.85
473,2.3
474,3.45
475,3.95
476,2.45
477,3.5
478,2.4
479,3.25
480,3.9
481,3.3
482,3.1
483,3.55
484,3.05
485,3.1
486,2.65
487,2.75
488,3.45
489,2.65
490,3.05
491,3.2
492,3.6
493,3.7
494,3.05
495,3.25
496,3.55
497,3.55
498,2.95
499,3.15
500,3.55
501,3.8
502,2.5
503,2.35
504,3.05
505,2.5
506,3.45
507,3.7
508,3.85
509,3.7
510,3.3
511,3.1
512,2.95
513,3.05
514,3.35
515,3.8
516,3.0
517,3.0
518,2.85
519,2.25
520,3.25
521,3.0
522,3.35
523,3.1
524,3.7
525,3.15
526,3.45
527,4.25
528,2.55
529,3.7
530,3.4
531,3.6
532,3.3
533,2.9
534,3.55
535,3.6
536,2.95
537,2.85
538,3.3
539,3.3
540,2.6
541,3.95
542,2.85
543,3.1
544,2.85
545,2.2
546,2.05
547,3.1
548,2.65
549,3.75
550,3.25
551,3.9
552,3.15
553,3.75
554,2.9
555,3.8
556,3.6
558,3.2
559,3.0
560,0.0
561,1.5
562,3.55
563,3.35
564,2.6
565,3.3
566,2.45
567,3.4
568,2.5
569,3.05
570,3.1
571,0.0
572,1.5
573,3.6
574,2.85
575,3.15
576,0.0
577,2.5
579,3.3
580,2.9
581,3.7
582,3.2
583,3.6
584,3.0
585,3.0
586,3.6
587,3.55
588,3.8
589,3.95
590,3.9
591,3.0
592,3.55
593,4.15
594,3.5
595,3.85
596,3.5
597,3.65
598,2.9
599,3.9
600,3.1
601,3.25
602,3.5
603,3.0
604,
605,3.15
606,2.65
607,2.25
608,3.9
609,3.05
610,3.15
611,2.5
612,2.4
613,3.6
614,2.0
615,3.65
616,3.6
617,3.55
618,2.75
619,2.1
620,3.45
621,3.2
